[2022-02-27 19:06:52,530] : Initialized Stem Player
[2022-02-27 19:06:55,735] : Set My Universe instrumental_1.wav on instrumental channel
[2022-02-27 19:06:56,744] : Playing ./sounds/instrumental/My Universe instrumental_1.wav on instrumental channel with length 18431
[2022-02-27 19:06:57,262] : Playing ./sounds/instrumental/My Universe instrumental_1.wav on instrumental channel with length 18431
[2022-02-27 19:06:59,182] : Set Dancing In My Head bells_1.wav on melody channel
[2022-02-27 19:07:01,911] : Playing ./sounds/melody/Dancing In My Head bells_1.wav on melody channel with length 18431
[2022-02-27 19:07:01,912] : Playing ./sounds/instrumental/My Universe instrumental_1.wav on instrumental channel with length 18431
[2022-02-27 19:07:11,111] : Playing ./sounds/instrumental/My Universe instrumental_1.wav on instrumental channel with length 18431
[2022-02-27 19:07:11,112] : Playing ./sounds/melody/Dancing In My Head bells_1.wav on melody channel with length 18431
[2022-02-27 19:07:15,712] : Playing ./sounds/instrumental/My Universe instrumental_1.wav on instrumental channel with length 18431
[2022-02-27 19:07:15,712] : Playing ./sounds/melody/Dancing In My Head bells_1.wav on melody channel with length 18431
[2022-02-27 19:07:18,011] : Playing ./sounds/instrumental/My Universe instrumental_1.wav on instrumental channel with length 18431
[2022-02-27 19:07:18,012] : Playing ./sounds/melody/Dancing In My Head bells_1.wav on melody channel with length 18431
[2022-02-27 19:07:20,362] : Playing ./sounds/instrumental/My Universe instrumental_1.wav on instrumental channel with length 18431
[2022-02-27 19:07:20,362] : Playing ./sounds/melody/Dancing In My Head bells_1.wav on melody channel with length 18431
[2022-02-27 19:07:21,495] : Playing ./sounds/instrumental/My Universe instrumental_1.wav on instrumental channel with length 18431
[2022-02-27 19:07:21,495] : Playing ./sounds/melody/Dancing In My Head bells_1.wav on melody channel with length 18431
[2022-02-27 19:07:22,612] : Playing ./sounds/instrumental/My Universe instrumental_1.wav on instrumental channel with length 18431
[2022-02-27 19:07:22,612] : Playing ./sounds/melody/Dancing In My Head bells_1.wav on melody channel with length 18431
[2022-02-27 19:07:24,962] : Playing ./sounds/instrumental/My Universe instrumental_1.wav on instrumental channel with length 18431
[2022-02-27 19:07:24,962] : Playing ./sounds/melody/Dancing In My Head bells_1.wav on melody channel with length 18431
[2022-02-27 19:07:25,995] : Playing ./sounds/melody/Dancing In My Head bells_1.wav on melody channel with length 18431
[2022-02-27 19:07:25,995] : Playing ./sounds/instrumental/My Universe instrumental_1.wav on instrumental channel with length 18431
